"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 16:11:58 CEST 2024","Mon Aug 05 16:12:07 CEST 2024","9473","chromium","ClientAppPageObject.spec.js","","","","client app 6 with tag",""
"passed","Sat Aug 03 10:50:21 CEST 2024","Sat Aug 03 10:50:31 CEST 2024","9221","chromium","ClientAppPageObjectArray.spec.js","","","","@Web Test customer from test-base",""
